State,State_UT_Code,Financial Year,Opening Balance,Funds Received from Government of India ,Funds Received as States' Share ,Other Receipts ,Total Funds Available ,Total Expenditure ,Net Unspent Balance Available,Extent of Funds Utilised against Total Funds Available
Maharashtra,14,2019-20,945.64,60.45,40.03,4.83,1050.95,186.13,897.65,17.711
Manipur,15,2019-20,275.63,264,61.76,7.2,608.59,493.29,125.25,81.055
Meghalaya,16,2019-20,163.13,195.77,21.49,11.66,392.05,290,102.85,73.97
Mizoram,17,2019-20,122.59,204.61,44.08,2.86,374.14,286.58,64.09,76.597
Nagaland,18,2019-20,14.64,74.82,8.48,1.41,99.35,70.8,4.78,71.263
Odisha,19,2019-20,3767.51,872.38,455.66,74.3,5169.85,2507.77,2742.98,48.508
Punjab,20,2019-20,53.16,-0.01,4.27,0.99,58.41,32.16,3.45,55.059
Rajasthan,21,2019-20,199.77,35.34,277.69,10.14,522.94,297.84,184.97,56.955
Sikkim,22,2019-20,178.28,4.39,14.15,10.85,207.67,177.79,46.07,85.612
Tamil Nadu,23,2019-20,1019.39,268.39,253.83,46.23,1587.84,850.34,810.54,53.553
Telangana,24,2019-20,71.27,156.25,398.3,-234.13,391.69,290.34,2742.2,74.125
Tripura,25,2019-20,305.27,0,0.15,15.91,321.33,95.84,215.56,29.826
Uttar Pradesh,26,2019-20,796.16,-42.46,-77.75,155.27,831.22,365.92,450.42,44.022
Uttarakhand,27,2019-20,764.65,689.91,116.03,-10.54,1560.05,1087.15,529.34,69.687
West Bengal,28,2019-20,2219.46,237.83,17.06,117.22,2591.57,1531.88,1080.06,59.11
A & N Islands,29,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,30,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Daman & Diu,32,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,33,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2019-20,721.4,448.52,118.9,16.73,1305.55,1327.33,41.64,101.668
Ladakh,35,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Puducherry,37,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,1,2020-21,265.34,103,-3,0.88,366.22,221.73,3.27,60.546
Arunachal Pradesh,2,2020-21,117.7,1039.6,114.67,3.56,1275.53,877.59,-2.14,68.802
Assam,3,2020-21,1128.49,1796.65,199.54,127.11,3251.79,1680.85,44.73,51.69
Bihar,4,2020-21,4498.29,203,180.48,94.29,4976.06,1402.05,15.31,28.176
Chhattisgarh,5,2020-21,1308.65,334.15,332.4,35.58,2010.78,789.87,19.81,39.282
Goa,6,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,7,2020-21,75.16,79.08,53.74,0.16,208.14,29.24,8.12,14.048
Haryana,8,2020-21,156.09,NA,NA,6.24,162.33,NA,-0.84,NA
Himachal Pradesh,9,2020-21,661.69,219.5,24.39,21.15,926.73,643.05,1.57,69.389
Jharkhand,10,2020-21,1596.61,213.54,165,117.44,2092.59,728.65,-10.37,34.82
Karnataka,11,2020-21,111.36,534.24,375.32,0.2,1021.12,131.22,-2.27,12.851
Kerala,12,2020-21,106.67,2.97,1.98,0.79,112.41,49.66,2.13,44.178
Madhya Pradesh,13,2020-21,1323.95,417.61,283.4,24.89,2049.85,1108.34,3.38,54.069
Maharashtra,14,2020-21,897.95,63.05,71.59,1.55,1034.14,111.04,134.07,10.737
Manipur,15,2020-21,130.16,195.5,44.98,0.46,371.1,359.97,-1.08,97.001
Meghalaya,16,2020-21,102.76,195.08,21.68,0.07,319.59,283.97,-0.08,88.854
Mizoram,17,2020-21,64.29,111.59,20.12,0.42,196.42,210.98,0.36,107.413
Nagaland,18,2020-21,4.32,88.89,0,0.25,93.46,83.73,1.27,89.589
Odisha,19,2020-21,2745.7,442.88,360.54,24.59,3573.71,1267.98,13.92,35.481
Punjab,20,2020-21,5.3,0,0,0.3,5.6,2.69,-0.54,48.036
Rajasthan,21,2020-21,187.47,2.05,111.31,0.56,301.39,99.71,-1.75,33.083
Sikkim,22,2020-21,45.73,136.83,12,1.42,195.98,107.46,1.06,54.832
Tamil Nadu,23,2020-21,811.12,108.53,0,19.27,938.92,448.78,0.86,47.797
Telangana,24,2020-21,108.69,92.11,0,35.16,235.96,114.51,12.08,48.529
Tripura,25,2020-21,216.53,70.11,7.58,58.39,352.61,43.62,-0.12,12.371
Uttar Pradesh,26,2020-21,459.58,0,0,26.53,486.11,340.7,1.26,70.087
Uttarakhand,27,2020-21,529.37,381.94,42.21,34.18,987.7,756.34,3.35,76.576
West Bengal,28,2020-21,1068.17,56.1,191.08,123.89,1439.24,1006.39,25.41,69.925
A & N Islands,29,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,30,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Daman & Diu,32,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,33,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2020-21,42.47,774.4,116.74,0.81,934.42,519.98,-0.98,55.647
Ladakh,35,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
Puducherry,37,2020-21,NA,NA,NA,NA,NA,NA,NA,NA
