State_UT,State_UT_Code,Financial Year,Opening Balance,Funds Released,Interest Earned and Other Receipts,Total Available Funds,Total Expenditure,Unspent Balance
A & N Islands,29,2019-20,7.321,0,0.259,7.58,7.279,0.301
Chandigarh,30,2019-20,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2019-20,0.91,0,0,0.91,0,0.91
Daman & Diu,32,2019-20,0.215,0,0,0.215,0.001,0.213
Delhi,33,2019-20,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2019-20,-39.67,67.785,0,28.115,40.681,-12.566
Ladakh,35,2019-20,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2019-20,NA,NA,NA,NA,NA,NA
Puducherry,37,2019-20,26.028,0,0.436,26.464,3.163,23.301
Andhra Pradesh,1,2020-21,936.704,60.4,0,997.104,828.367,168.737
Arunachal Pradesh,2,2020-21,26.654,8.123,0,34.776,25.579,9.197
Assam,3,2020-21,381.979,170.504,6.299,558.782,472.11,86.672
Bihar,4,2020-21,1137.26,0,18.185,1155.445,693.123,462.322
Chhattisgarh,5,2020-21,281.313,0,2.692,284.005,150.968,133.037
Goa,6,2020-21,1.05,0,0,1.05,0.158,0.892
Gujarat,7,2020-21,95.298,186.63,23.552,305.48,143.676,161.805
Haryana,8,2020-21,76.084,14.962,0.96,92.006,58.83,33.175
Himachal Pradesh,9,2020-21,83.723,0,3.694,87.417,25.013,62.404
Jharkhand,10,2020-21,683.903,52.76,3.978,740.642,438.864,301.778
Karnataka,11,2020-21,410.514,0,11.04,421.553,59.765,361.789
Kerala,12,2020-21,16.408,1.697,0.871,18.976,5.014,13.962
Madhya Pradesh,13,2020-21,297.099,67.5,16.591,381.189,218.6,162.589
Maharashtra,14,2020-21,462.52,0,0,462.52,82.12,380.4
Manipur,15,2020-21,4.049,0,0.107,4.156,0.063,4.093
Meghalaya,16,2020-21,29.162,39.082,0.762,69.006,22.272,46.734
Mizoram,17,2020-21,7.283,7.874,0.049,15.205,13.511,1.694
Nagaland,18,2020-21,16.617,11.874,0,28.491,28.017,0.475
Odisha,19,2020-21,1205.715,240,17.085,1462.801,614.869,847.932
Punjab,20,2020-21,133.22,0,0,133.22,18.105,115.115
Rajasthan,21,2020-21,349.66,0,0,349.66,113.15,236.51
Sikkim,22,2020-21,5.566,0,0.163,5.729,2.605,3.124
Tamil Nadu,23,2020-21,88.405,43.924,114.632,246.962,56.181,190.78
Telangana,24,2020-21,122.743,0,2.414,125.157,55.865,69.292
Tripura,25,2020-21,43.956,7.2,0.714,51.869,36.06,15.81
Uttar Pradesh,26,2020-21,403.268,248.642,705.728,1357.638,653.485,704.154
Uttarakhand,27,2020-21,125.334,24.513,4.092,153.938,24.045,129.894
West Bengal,28,2020-21,431.555,0,2.435,433.99,273.325,160.665
A & N Islands,29,2020-21,3.451,1.428,1.944,6.824,3.15,3.674
Chandigarh,30,2020-21,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2020-21,1.767,0,0.013,1.779,0.003,1.777
Daman & Diu,32,2020-21,NA,NA,NA,NA,NA,NA
Delhi,33,2020-21,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2020-21,67.015,13.888,0.3,81.203,51.928,29.275
Ladakh,35,2020-21,1.546,1.839,0.042,3.426,2.871,0.556
Lakshadweep,36,2020-21,NA,NA,NA,NA,NA,NA
Puducherry,37,2020-21,25.116,0,0.716,25.831,1.699,24.132
